%%wl	rayleigh_cross_section_scattering	ozone_cross_section_absorption	aerosol_cross_section_scattering	aerosol_cross_section_absorption
392.6	1.8099e-36	2.5264e-33	2.69964e-17	9.74687e-17
392.7	1.80805e-36	2.5178e-33	2.69955e-17	9.74393e-17
392.8	1.8062e-36	2.5092e-33	2.69946e-17	9.74048e-17
392.9	1.80435e-36	2.5006e-33	2.69937e-17	9.73703e-17
393	1.8025e-36	2.492e-33	2.69928e-17	9.73358e-17
393.1	1.80065e-36	2.4834e-33	2.6992e-17	9.73013e-17
393.2	1.7988e-36	2.4748e-33	2.69911e-17	9.72668e-17
393.3	1.79695e-36	2.4662e-33	2.69902e-17	9.72323e-17
393.4	1.7951e-36	2.4576e-33	2.69893e-17	9.71978e-17
393.5	1.79325e-36	2.449e-33	2.69884e-17	9.71632e-17
393.6	1.7914e-36	2.4404e-33	2.69876e-17	9.71207e-17
393.7	1.78955e-36	2.4318e-33	2.69867e-17	9.707e-17
393.8	1.7877e-36	2.4232e-33	2.69858e-17	9.70193e-17
393.9	1.78585e-36	2.4146e-33	2.69849e-17	9.69687e-17
394	1.784e-36	2.406e-33	2.6984e-17	9.6918e-17
394.1	1.78215e-36	2.3974e-33	2.69832e-17	9.68674e-17
394.2	1.7803e-36	2.3888e-33	2.69823e-17	9.68167e-17
394.3	1.77845e-36	2.3802e-33	2.69814e-17	9.67661e-17
394.4	1.7766e-36	2.3716e-33	2.69805e-17	9.67154e-17
394.5	1.77475e-36	2.363e-33	2.69796e-17	9.66672e-17
394.6	1.7729e-36	2.3544e-33	2.69786e-17	9.66225e-17
394.7	1.77105e-36	2.3458e-33	2.69776e-17	9.65779e-17
394.8	1.7692e-36	2.3372e-33	2.69766e-17	9.65333e-17
394.9	1.76735e-36	2.3286e-33	2.69756e-17	9.64887e-17
395	1.7655e-36	2.32e-33	2.69747e-17	9.64441e-17
395.1	1.76365e-36	2.3114e-33	2.69737e-17	9.63995e-17
395.2	1.7618e-36	2.3028e-33	2.69727e-17	9.63548e-17
395.3	1.75995e-36	2.2942e-33	2.69717e-17	9.63102e-17
395.4	1.7581e-36	2.2856e-33	2.69707e-17	9.62728e-17
395.5	1.75625e-36	2.277e-33	2.69697e-17	9.62521e-17
395.6	1.7544e-36	2.2684e-33	2.69687e-17	9.62315e-17
395.7	1.75255e-36	2.2598e-33	2.69677e-17	9.62108e-17
395.8	1.7507e-36	2.2512e-33	2.69667e-17	9.61902e-17
395.9	1.74885e-36	2.2426e-33	2.69658e-17	9.61695e-17
396	1.747e-36	2.234e-33	2.69648e-17	9.61488e-17
396.1	1.74515e-36	2.2254e-33	2.69638e-17	9.61282e-17
396.2	1.7433e-36	2.2168e-33	2.69628e-17	9.61075e-17
396.3	1.74145e-36	2.2082e-33	2.69618e-17	9.6087e-17
396.4	1.7396e-36	2.1996e-33	2.69608e-17	9.60667e-17
396.5	1.73775e-36	2.191e-33	2.69598e-17	9.60465e-17
396.6	1.7359e-36	2.1824e-33	2.69588e-17	9.60263e-17
396.7	1.73405e-36	2.1738e-33	2.69578e-17	9.60061e-17
396.8	1.7322e-36	2.1652e-33	2.69569e-17	9.59859e-17
396.9	1.73035e-36	2.1566e-33	2.69559e-17	9.59656e-17
397	1.7285e-36	2.148e-33	2.69549e-17	9.59454e-17
397.1	1.72665e-36	2.1394e-33	2.69539e-17	9.59252e-17
397.2	1.7248e-36	2.1308e-33	2.69529e-17	9.59027e-17
397.3	1.72295e-36	2.1222e-33	2.69519e-17	9.58593e-17
397.4	1.7211e-36	2.1136e-33	2.69509e-17	9.58159e-17
397.5	1.71925e-36	2.105e-33	2.695e-17	9.57726e-17
397.6	1.7174e-36	2.0964e-33	2.6949e-17	9.57292e-17
397.7	1.71555e-36	2.0878e-33	2.6948e-17	9.56858e-17
