%%z	rayleigh_scattering	aerosol_scattering	ozone_absorption	aerosol_absorption	extinction	rayleigh_density	ozone_density_1	ozone_density_2	ozone_density_3	ozone_density_4	ozone_density_5	ozone_density_6	ozone_density_7	ozone_density_8	ozone_density_9	ozone_density_10	ozone_density_11	ozone_density_12	aerosol_density
0.810547	0.0156863	0.4209	0.000737616	0.526252	0.963575	2.35672e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.24437e+15
0.820312	0.0156708	0.418849	0.000737616	0.523688	0.958946	2.35438e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.23831e+15
0.830078	0.0156552	0.416809	0.000737616	0.521137	0.95434	2.35205e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.23228e+15
0.839844	0.0156397	0.414779	0.000737616	0.518599	0.949755	2.34971e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.22628e+15
0.849609	0.0156241	0.412759	0.000737616	0.516073	0.945193	2.34737e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.2203e+15
0.859375	0.0156085	0.410748	0.000737616	0.513559	0.940654	2.34503e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.21436e+15
0.869141	0.015593	0.408747	0.000737616	0.511058	0.936136	2.34269e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.20844e+15
0.878906	0.0155774	0.406756	0.000737616	0.508568	0.93164	2.34035e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.20256e+15
0.888672	0.0155618	0.404775	0.000737616	0.506091	0.927166	2.33801e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.1967e+15
0.898438	0.0155462	0.402804	0.000737616	0.503626	0.922714	2.33567e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.19087e+15
